ROUTE,COST,REVENUE,PROFIT
CLT-GSP,16503044.0,151041158.3400003,134538131
CLT-GSO,15733956.279999783,137398086.0,121664042
CHS-CLT,18098232.320000093,122418711.36,104320467
CLT-ILM,13466311.20000046,114907212.0,101441340
ATL-CLT,37069267.59999922,134366291.0399995,97297111
LAX-SAN,31043749.6400008,127277663.9999999,96233905
CLT-MYR,12106466.039999774,105547523.08000004,93441078
MDT-PHL,6550727.040000067,97024320.0,90473688
DSM-ORD,24750440.440000456,113310227.63999988,88559774
IND-ORD,32224111.919998884,120290975.99999994,88067024
CID-ORD,18300683.279999737,104627715.3800001,86327042
AVL-CLT,12113954.840000208,98123510.0,86009980
ATL-BHM,17271924.559999507,99804669.36,82532750
CLT-ROA,13547559.40000028,94469690.16000016,80922130
ATL-CAE,17126287.360000204,98016821.7,80890539
ATL-TYS,16979086.39999966,93437990.63999996,76458891
ATL-GSP,20505362.919999074,96472852.31999956,75967450
CLT-DTW,27721000.0,102453573.59999962,74732549
CLT-ORF,19119921.999999456,93683813.17999984,74563875
ORD-STL,28459780.44000104,100752777.71999995,72293012
CHO-CLT,12771320.999999665,83256082.00000006,70484756
PHX-TUS,14290720.4000003,84567798.0,70276818
ATL-LEX,15297701.120000308,85257152.20000006,69959351
CLT-RIC,18810793.720000006,88575744.99999999,69765034
CLT-FAY,8422658.440000175,77207433.58000001,68784787
DTW-IND,13550808.440000074,82291432.47999999,68740646
DCA-ORD,57006283.999994926,125517840.1199999,68511507
SLC-TWF,4680741.0,72627144.96000008,67946410
CLT-SAV,17430885.719999816,85085870.73999988,67654995
ATL-GNV,12202260.0,78684316.64000013,66482086
MSN-ORD,20370210.63999981,86376157.79999992,66005902
LGA-PIT,26856666.200000968,92759547.66000004,65902888
DCA-EWR,14357759.48000023,79376182.55999997,65018417
CMH-DTW,11034521.400000198,75870577.59999987,64836049
CLT-TYS,13763834.23999983,77659740.00000003,63895907
BNA-ORD,31635626.000000685,95243752.43999994,63608021
CLT-EWN,9528779.999999989,73113313.50000001,63584565
PIH-SLC,4793580.0,68247868.31999989,63454304
GRB-ORD,15562153.000000292,78253049.99999999,62690802
FAR-ORD,11261254.439999849,73485749.00000001,62224497
MSP-ORD,44464006.35999864,106622619.18000032,62158627
MKE-ORD,20295994.719999824,82053180.0,61757300
EWR-SFO,78767651.60000348,140439958.33999962,61672293
ATL-TLH,12577214.160000104,74246690.87999994,61669504
CMH-ORD,31335377.920000978,92925625.59999987,61590251
EWR-MSP,28148529.28000064,88797527.98000023,60648986
IAD-SFO,46409451.22000161,106915059.15999997,60505646
ORD-TVC,9428700.480000092,69690435.92000012,60261728
GRR-ORD,16772191.88000025,76983566.66000003,60211395
DTW-GRR,8722022.399999788,68666948.0,59944520
CLT-IND,19432124.55999961,79321392.13999993,59889269
ATL-TRI,11745511.919999937,71510164.90000008,59764651
DFW-XNA,15072466.400000311,74634587.19999993,59562123
DTW-ORD,39097876.800000094,98510013.0,59412333
DFW-GRK,8765040.480000062,68024275.0,59259355
CLT-MDT,11472001.439999878,70602392.35999997,59130388
CLT-PHX,37364671.08000061,95343570.73999996,57978904
SFO-SLC,28192353.58000044,86028832.49999985,57836458
MCI-ORD,24481077.97999897,82296309.9,57815201
IAH-LGA,46710725.28000104,104498540.95999976,57787796
ATL-XNA,12261668.999999702,70045507.5,57783629
DTW-EWR,26990421.759999752,84253740.79999992,57263382
CLT-JAX,17668992.319999386,74377506.7200001,56708502
COS-DEN,15514383.560000284,72156294.0,56642114
IAH-OKC,18490617.699999865,74800370.47999987,56309738
IAH-MSP,33019651.28000056,89239890.39999989,56220102
BOS-LGA,56224667.19999578,112307861.88000016,56083181
CHA-CLT,13799989.400000297,69783807.24000005,55983817
PDX-SEA,53147413.43999656,108936503.75999992,55789178
JFK-SFO,125510865.60000436,181182480.96,55671674
FSD-MSP,8890111.68000002,63988903.74000005,55098808
DAY-DTW,7167853.359999942,61984996.19999999,54817144
ATL-MOB,14305043.19999982,68855202.00000006,54550157
CLT-MEM,16424515.640000368,70878874.52000014,54454384
MDT-ORD,14134135.719999926,68463054.48000008,54328912
ORD-TUL,15370300.000000266,69568394.04,54198110
FSD-ORD,10880814.839999905,64935065.57999996,54054238
ORD-PIT,23376321.299999777,76894079.68000002,53517711
CLE-ORD,29177607.45999889,81171657.95999976,51994112
CLE-LGA,31279062.78000179,82860029.28000008,51581023
DCA-IAH,27521719.200000547,79022039.3999999,51500322
DEN-RAP,6839164.0,57321730.5,50482548
ATL-BTR,11844892.80000006,62235428.53999993,50390478
CLT-CRW,9358390.840000004,59453178.62000002,50094806
BUF-DTW,9086010.71999998,59168458.0,50082543
ORD-SDF,20920420.360000584,70879256.6999999,49958879
BOS-JFK,34118913.92000022,83958120.32000038,49839191
FAT-LAX,13016532.839999774,62431223.52000005,49414696
CLT-PHF,10448670.799999854,59789255.67999997,49340586
DTW-ELM,8860118.399999874,57617140.0,48756820
AGS-ATL,15453202.840000262,63878496.0,48424938
CLT-CMH,17114727.08000057,65399310.16,48284539
LGA-RIC,17499172.80000015,65777079.68000011,48277929
CLT-RDU,17461704.0000003,65398326.84000003,47936611
CLT-PHL,22510181.080000363,70309450.96000002,47799288
ORD-PIA,10331508.20000018,57875047.65999997,47543544
CLE-EWR,13311167.12000019,60760035.83999997,47448860
ATL-SHV,11427943.799999883,58751700.0,47323920
DTW-PIT,9405072.919999896,56651412.09999998,47246305
CLT-OAJ,9475461.11999999,56456463.97999995,46981002
CWA-ORD,7065638.979999921,54017598.0,46952213
ATL-ORD,59264208.6399952,105948099.60000008,46683926
IAH-MAF,12997756.14000029,59628931.38000005,46631177
ORD-SLC,36120950.0,82611477.68000007,46490514
ATL-EYW,12866208.239999777,59278391.83999999,46412171
IAH-TUL,18231191.76000023,64627147.00000016,46395951
EWR-IAD,11420528.960000109,57757154.92000014,46336627
