ROUTE,COST,REVENUE,PROFIT
CLT-GSP,18050069.0,151041158.3400003,132991108
CLT-GSO,17030406.27999978,137398086.0,120367592
CHS-CLT,19538007.31999988,122418711.36,102880692
CLT-ILM,14527411.200000502,114907212.0,100380240
ATL-CLT,39777817.59999921,134366291.0399995,94588558
CLT-MYR,13068341.039999768,105547523.08000004,92479202
LAX-SAN,36260974.640000336,127277663.9999999,91016700
MDT-PHL,7336877.04000007,97024320.0,89687538
AVL-CLT,13252229.840000274,98123510.0,84871705
DSM-ORD,29602865.44000047,113310227.63999988,83707351
CID-ORD,21852683.280000035,104627715.3800001,82775045
ATL-BHM,18118074.559999604,99804669.36,81686600
IND-ORD,38640436.91999883,120290975.99999994,81650699
CLT-ROA,14684109.400000293,94469690.16000016,79785579
ATL-CAE,18680737.36000002,98016821.7,79336089
ATL-TYS,18575836.399999622,93437990.63999993,74862141
ATL-GSP,22079012.919999007,96472852.31999956,74393800
CLT-ORF,20271246.999999423,93683813.17999984,73412551
CLT-DTW,29412250.0,102453573.59999962,73041299
CHO-CLT,14213795.99999965,83256082.00000006,69042281
PHX-TUS,15832720.40000036,84567798.0,68734818
CLT-RIC,19900168.720000155,88575744.99999999,68675659
ATL-LEX,16915901.120000344,85257152.20000006,68341151
CLT-FAY,9430058.44000018,77207433.58000001,67777384
DTW-IND,14871258.440000074,82291432.47999999,67420193
SLC-TWF,5481966.0,72627144.96000008,67145185
CLT-SAV,18650310.719999816,85085870.73999988,66435567
ORD-STL,35339305.44000107,100752777.71999995,65413484
ATL-GNV,13506810.0,78684316.64000013,65177536
CMH-DTW,12321896.400000216,75870577.59999987,63548674
PIH-SLC,5260380.0,68247868.31999989,62987504
CLT-EWN,10323554.999999916,73113313.50000001,62789789
CLT-TYS,15119984.239999786,77659740.00000003,62539759
DCA-ORD,63269833.99999414,125517840.1199999,62247957
MSN-ORD,24458835.640000097,86376157.79999992,61917277
DCA-EWR,17636759.48000025,79376182.55999997,61739418
LGA-PIT,31185516.200001027,92759547.66000004,61574040
ATL-TLH,13444064.160000134,74246690.87999994,60802654
GRB-ORD,18418678.00000032,78253049.99999999,59834277
FAR-ORD,13909879.439999845,73485749.00000001,59575872
CLT-IND,20475974.5599996,79321392.13999993,58845420
