ORIGIN,DESTINATION,count,reverse_count,round_trips,ROUTE
LAX,SFO,4164,4176,4164,LAX-SFO
ORD,LGA,3580,3576,3576,ORD-LGA
LAS,LAX,3254,3257,3254,LAS-LAX
JFK,LAX,3158,3162,3158,JFK-LAX
LAX,SEA,2502,2497,2497,LAX-SEA
BOS,LGA,2405,2415,2405,BOS-LGA
HNL,OGG,2399,2395,2395,HNL-OGG
SEA,PDX,2376,2398,2376,SEA-PDX
MCO,ATL,2351,2356,2351,MCO-ATL
LGA,ATL,2293,2301,2293,LGA-ATL
ATL,FLL,2293,2291,2291,ATL-FLL
FLL,ATL,2291,2293,2291,FLL-ATL
SEA,SFO,2297,2271,2271,SEA-SFO
SFO,SEA,2271,2297,2271,SFO-SEA
SJC,LAX,2168,2180,2168,SJC-LAX
LAX,SJC,2180,2168,2168,LAX-SJC
PHX,LAX,2103,2091,2091,PHX-LAX
LAX,PHX,2091,2103,2091,LAX-PHX
PHX,DEN,1965,1966,1965,PHX-DEN
DEN,PHX,1966,1965,1965,DEN-PHX
ATL,ORD,1904,1910,1904,ATL-ORD
ORD,ATL,1910,1904,1904,ORD-ATL
SEA,GEG,1900,1888,1888,SEA-GEG
GEG,SEA,1888,1900,1888,GEG-SEA
LAX,DFW,1878,1877,1877,LAX-DFW
DFW,LAX,1877,1878,1877,DFW-LAX
LAS,SFO,1874,1874,1874,LAS-SFO
SFO,LAS,1874,1874,1874,SFO-LAS
DCA,BOS,1865,1865,1865,DCA-BOS
BOS,DCA,1865,1865,1865,BOS-DCA
JFK,SFO,1860,1861,1860,JFK-SFO
SFO,JFK,1861,1860,1860,SFO-JFK
LAX,ORD,1869,1857,1857,LAX-ORD
ORD,LAX,1857,1869,1857,ORD-LAX
ORD,DCA,1848,1847,1847,ORD-DCA
DCA,ORD,1847,1848,1847,DCA-ORD
DEN,LAX,1819,1815,1815,DEN-LAX
LAX,DEN,1815,1819,1815,LAX-DEN
DEN,SLC,1797,1793,1793,DEN-SLC
SLC,DEN,1793,1797,1793,SLC-DEN
SFO,SAN,1758,1754,1754,SFO-SAN
SAN,SFO,1754,1758,1754,SAN-SFO
ATL,DCA,1746,1742,1742,ATL-DCA
DCA,ATL,1742,1746,1742,DCA-ATL
SMF,LAX,1747,1739,1739,SMF-LAX
LAX,SMF,1739,1747,1739,LAX-SMF
SEA,LAS,1734,1732,1732,SEA-LAS
LAS,SEA,1732,1734,1732,LAS-SEA
MSP,ORD,1721,1719,1719,MSP-ORD
ORD,MSP,1719,1721,1719,ORD-MSP
ATL,TPA,1724,1714,1714,ATL-TPA
TPA,ATL,1714,1724,1714,TPA-ATL
ATL,MIA,1707,1708,1707,ATL-MIA
MIA,ATL,1708,1707,1707,MIA-ATL
PHL,BOS,1703,1701,1701,PHL-BOS
BOS,PHL,1701,1703,1701,BOS-PHL
EWR,MCO,1681,1681,1681,EWR-MCO
MCO,EWR,1681,1681,1681,MCO-EWR
DCA,LGA,1677,1682,1677,DCA-LGA
LGA,DCA,1682,1677,1677,LGA-DCA
DFW,ORD,1630,1644,1630,DFW-ORD
ORD,DFW,1644,1630,1630,ORD-DFW
ATL,DFW,1625,1624,1624,ATL-DFW
DFW,ATL,1624,1625,1624,DFW-ATL
DTW,ORD,1612,1622,1612,DTW-ORD
ORD,DTW,1622,1612,1612,ORD-DTW
SEA,PHX,1612,1618,1612,SEA-PHX
PHX,SEA,1618,1612,1612,PHX-SEA
DEN,LAS,1585,1602,1585,DEN-LAS
LAS,DEN,1602,1585,1585,LAS-DEN
LIH,HNL,1568,1570,1568,LIH-HNL
HNL,LIH,1570,1568,1568,HNL-LIH
SLC,LAX,1539,1545,1539,SLC-LAX
LAX,SLC,1545,1539,1539,LAX-SLC
ATL,CLT,1535,1541,1535,ATL-CLT
CLT,ATL,1541,1535,1535,CLT-ATL
ATL,BOS,1531,1531,1531,ATL-BOS
ATL,LAX,1667,1531,1531,ATL-LAX
BOS,ATL,1531,1531,1531,BOS-ATL
LAX,ATL,1531,1667,1531,LAX-ATL
DAL,HOU,1530,1532,1530,DAL-HOU
HOU,DAL,1532,1530,1530,HOU-DAL
ATL,EWR,1521,1521,1521,ATL-EWR
EWR,ATL,1521,1521,1521,EWR-ATL
HNL,KOA,1509,1509,1509,HNL-KOA
KOA,HNL,1509,1509,1509,KOA-HNL
SAN,SJC,1514,1508,1508,SAN-SJC
SJC,SAN,1508,1514,1508,SJC-SAN
MIA,LGA,1499,1501,1499,MIA-LGA
LGA,MIA,1501,1499,1499,LGA-MIA
BWI,ATL,1499,1497,1497,BWI-ATL
ATL,BWI,1497,1499,1497,ATL-BWI
ATL,PHL,1506,1493,1493,ATL-PHL
PHL,ATL,1493,1506,1493,PHL-ATL
PDX,LAX,1486,1501,1486,PDX-LAX
LAX,PDX,1501,1486,1486,LAX-PDX
IAH,DFW,1478,1477,1477,IAH-DFW
DFW,IAH,1477,1478,1477,DFW-IAH
LGA,DFW,1475,1478,1475,LGA-DFW
DFW,LGA,1478,1475,1475,DFW-LGA
EWR,FLL,1464,1468,1464,EWR-FLL
FLL,EWR,1468,1464,1464,FLL-EWR
BOS,JFK,1456,1457,1456,BOS-JFK
JFK,BOS,1457,1456,1456,JFK-BOS
CLT,LGA,1422,1423,1422,CLT-LGA
LGA,CLT,1423,1422,1422,LGA-CLT
SAN,LAX,1411,1414,1411,SAN-LAX
LAX,SAN,1414,1411,1411,LAX-SAN
ORD,PHX,1420,1409,1409,ORD-PHX
PHX,ORD,1409,1420,1409,PHX-ORD
BOS,ORD,1682,1404,1404,BOS-ORD
ORD,BOS,1404,1682,1404,ORD-BOS
ORD,IND,1399,1397,1397,ORD-IND
IND,ORD,1397,1399,1397,IND-ORD
LAS,SAN,1409,1396,1396,LAS-SAN
SAN,LAS,1396,1409,1396,SAN-LAS
SJC,SEA,1399,1393,1393,SJC-SEA
SEA,SJC,1393,1399,1393,SEA-SJC
DEN,ATL,1396,1389,1389,DEN-ATL
ATL,DEN,1389,1396,1389,ATL-DEN
SEA,DEN,1384,1385,1384,SEA-DEN
DEN,SEA,1385,1384,1384,DEN-SEA
SMF,SAN,1368,1370,1368,SMF-SAN
SAN,SMF,1370,1368,1368,SAN-SMF
ORD,CVG,1369,1366,1366,ORD-CVG
CVG,ORD,1366,1369,1366,CVG-ORD
DEN,DFW,1365,1364,1364,DEN-DFW
DFW,DEN,1364,1365,1364,DFW-DEN
HNL,LAX,1362,1365,1362,HNL-LAX
